,time,latitude,longitude,number,step,surface,valid_time,pm2p5
0,2006-08-01 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-01 00:00:00,3.0086358e-09
1,2006-08-01 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-01 06:00:00,6.992444e-09
2,2006-08-01 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-01 12:00:00,2.4370688e-12
3,2006-08-01 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-01 18:00:00,8.565099e-12
4,2006-08-02 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-02 00:00:00,3.8318255e-09
5,2006-08-02 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-02 06:00:00,7.899924e-09
6,2006-08-02 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-02 12:00:00,2.1749895e-09
7,2006-08-02 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-02 18:00:00,8.6867247e-10
8,2006-08-03 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-03 00:00:00,6.8727743e-09
9,2006-08-03 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-03 06:00:00,8.279386e-09
10,2006-08-03 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-03 12:00:00,3.6473942e-09
11,2006-08-03 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-03 18:00:00,6.1790892e-09
12,2006-08-04 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-04 00:00:00,1.01596775e-08
13,2006-08-04 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-04 06:00:00,1.0889764e-08
14,2006-08-04 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-04 12:00:00,1.8156367e-08
15,2006-08-04 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-04 18:00:00,1.6540397e-08
16,2006-08-05 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-05 00:00:00,2.0105606e-08
17,2006-08-05 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-05 06:00:00,1.9413744e-08
18,2006-08-05 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-05 12:00:00,1.6038602e-08
19,2006-08-05 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-05 18:00:00,7.2057915e-09
20,2006-08-06 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-06 00:00:00,6.6649264e-09
21,2006-08-06 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-06 06:00:00,4.025953e-09
22,2006-08-06 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-06 12:00:00,1.1804158e-08
23,2006-08-06 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-06 18:00:00,7.7613045e-09
24,2006-08-07 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-07 00:00:00,5.849686e-08
25,2006-08-07 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-07 06:00:00,1.0558102e-07
26,2006-08-07 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-07 12:00:00,1.0752302e-07
27,2006-08-07 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-07 18:00:00,1.0533061e-08
28,2006-08-08 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-08 00:00:00,3.017662e-08
29,2006-08-08 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-08 06:00:00,2.5423024e-08
30,2006-08-08 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-08 12:00:00,1.6907496e-08
31,2006-08-08 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-08 18:00:00,4.654158e-09
32,2006-08-09 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-09 00:00:00,3.0878653e-08
33,2006-08-09 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-09 06:00:00,4.4781746e-08
34,2006-08-09 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-09 12:00:00,2.4183901e-08
