ano,total_anual_internamentos,media_diaria_internamentos,mediana_diaria_internamentos,desvio_padrao_diario,temperatura_media_anual,pm25_medio_anual,quantidade_dias
2007,92,0.78,0.5,1.055,18.316,11.284,118
2008,660,1.803,2.0,1.544,16.022,6.821,366
2009,1078,2.953,2.0,2.783,16.293,7.011,365
2010,995,2.726,2.0,1.876,16.133,7.901,365
2011,848,2.323,2.0,1.773,16.209,6.373,365
2012,787,2.15,2.0,1.966,16.915,6.291,366
2013,914,2.504,2.0,1.764,16.144,6.007,365
2014,841,2.304,2.0,1.716,17.035,6.568,365
2015,528,1.447,1.0,1.349,17.191,7.387,365
2016,748,2.044,2.0,1.72,16.273,8.257,366
2017,903,2.474,2.0,1.836,17.233,7.957,365
2018,890,2.438,2.0,2.015,16.881,7.393,365
2019,679,1.86,2.0,1.629,17.588,9.037,365
2020,295,0.806,1.0,0.92,16.83,9.261,366
2021,397,1.088,1.0,1.078,16.502,9.261,365
2022,515,1.411,1.0,1.361,16.074,7.65,365
2023,473,1.296,1.0,1.251,17.049,8.035,365
2024,374,1.039,1.0,1.116,17.609,10.757,360
