ano_mes,ano,mes,periodo_covid,total_mensal_internamentos,temperatura_media_mensal,pm25_medio_mensal,quantidade_dias
2007-09,2007,9,pre_pandemia_historico,6,17.246908341346156,20.831168695673078,26
2007-10,2007,10,pre_pandemia_historico,18,17.765616157258062,11.09412922032258,31
2007-11,2007,11,pre_pandemia_historico,46,17.914200866666665,6.303362798733334,30
2007-12,2007,12,pre_pandemia_historico,22,20.151726504032258,8.285807023580647,31
2008-01,2008,1,pre_pandemia_historico,40,19.64205343548387,5.06503318366129,31
2008-02,2008,2,pre_pandemia_historico,34,19.51798116810345,6.211576116982759,29
2008-03,2008,3,pre_pandemia_historico,39,18.74088508064516,5.404101074217742,31
2008-04,2008,4,pre_pandemia_historico,40,15.510284466666667,5.22669510524775,30
2008-05,2008,5,pre_pandemia_historico,53,12.636891031532256,7.0573771610685485,31
2008-06,2008,6,pre_pandemia_historico,67,10.629626473416666,4.817598269916667,30
2008-07,2008,7,pre_pandemia_historico,56,13.991172561290323,9.41086527164516,31
2008-08,2008,8,pre_pandemia_historico,48,14.331947595967742,9.434344534435484,31
2008-09,2008,9,pre_pandemia_historico,60,13.190049268333333,9.194946894608334,30
2008-10,2008,10,pre_pandemia_historico,98,16.835119439516127,8.570537376337903,31
2008-11,2008,11,pre_pandemia_historico,71,18.052412929166668,5.3122299470000005,30
2008-12,2008,12,pre_pandemia_historico,54,19.19558123467742,6.0135273436612895,31
2009-01,2009,1,pre_pandemia_historico,62,18.70169855645161,5.698560194200001,31
2009-02,2009,2,pre_pandemia_historico,52,19.78124344642857,6.332559205949107,28
2009-03,2009,3,pre_pandemia_historico,69,19.261698076612902,6.542674322822581,31
2009-04,2009,4,pre_pandemia_historico,65,16.855316124999998,6.4700275260253335,30
2009-05,2009,5,pre_pandemia_historico,110,13.991849860241935,6.209070582338709,31
2009-06,2009,6,pre_pandemia_historico,122,10.078006997416667,4.801293913441667,30
2009-07,2009,7,pre_pandemia_historico,89,10.500806227612902,4.985109698503226,31
2009-08,2009,8,pre_pandemia_historico,130,13.861250342741934,11.978436652004032,31
2009-09,2009,9,pre_pandemia_historico,79,14.696228025833333,7.163481835750001,30
2009-10,2009,10,pre_pandemia_historico,106,16.92599488064516,8.390120510064515,31
2009-11,2009,11,pre_pandemia_historico,123,20.804166666666667,8.195364952866667,30
2009-12,2009,12,pre_pandemia_historico,71,20.308614403225803,7.2580159177475805,31
2010-01,2010,1,pre_pandemia_historico,73,20.19909766935484,6.150287813467742,31
2010-02,2010,2,pre_pandemia_historico,66,20.894141035714284,5.626130443482142,28
2010-03,2010,3,pre_pandemia_historico,93,18.86876558064516,4.906986675495831,31
2010-04,2010,4,pre_pandemia_historico,76,16.222735604166665,5.1942560161725,30
2010-05,2010,5,pre_pandemia_historico,104,12.686331434677419,5.3636897541161295,31
2010-06,2010,6,pre_pandemia_historico,131,12.474448670833334,6.954114031916666,30
2010-07,2010,7,pre_pandemia_historico,106,12.124296101774192,5.75862869316129,31
2010-08,2010,8,pre_pandemia_historico,77,12.879996021290323,14.92010675847258,31
2010-09,2010,9,pre_pandemia_historico,82,15.629565394999998,17.004165379666667,30
2010-10,2010,10,pre_pandemia_historico,59,15.368773411290322,9.780154532374194,31
2010-11,2010,11,pre_pandemia_historico,61,17.566961695833335,6.484312884057417,30
2010-12,2010,12,pre_pandemia_historico,67,19.054089951612905,6.584340802116936,31
2011-01,2011,1,pre_pandemia_historico,75,20.484291342741933,6.212568831881371,31
2011-02,2011,2,pre_pandemia_historico,53,20.160716517857143,5.535158668964286,28
2011-03,2011,3,pre_pandemia_historico,85,19.11929514919355,3.071917304004032,31
2011-04,2011,4,pre_pandemia_historico,87,16.879270408333333,4.302598684791667,30
2011-05,2011,5,pre_pandemia_historico,75,13.202328578225806,4.898419652401612,31
2011-06,2011,6,pre_pandemia_historico,101,10.976534033083334,7.970627165333334,30
2011-07,2011,7,pre_pandemia_historico,78,12.596729928870968,6.326320061237904,31
2011-08,2011,8,pre_pandemia_historico,68,13.060065504193549,8.474419255008064,31
2011-09,2011,9,pre_pandemia_historico,60,14.441278040833334,12.286852795708334,30
2011-10,2011,10,pre_pandemia_historico,62,17.24351550645161,7.089824541358871,31
2011-11,2011,11,pre_pandemia_historico,64,17.698166937499998,5.123964361216666,30
2011-12,2011,12,pre_pandemia_historico,40,18.86882654435484,5.23701383074758,31
2012-01,2012,1,pre_pandemia_historico,49,19.762907000000002,4.5648599713653235,31
2012-02,2012,2,pre_pandemia_historico,39,21.015703900862068,5.972630987062068,29
2012-03,2012,3,pre_pandemia_historico,65,18.49794345967742,4.380212316725807,31
2012-04,2012,4,pre_pandemia_historico,94,16.412746178333332,5.249077965941667,30
2012-05,2012,5,pre_pandemia_historico,99,13.466988851612902,5.1061611289540325,31
2012-06,2012,6,pre_pandemia_historico,108,12.355806464166667,5.235086506558333,30
2012-07,2012,7,pre_pandemia_historico,102,11.763605908709676,5.010549346133871,31
2012-08,2012,8,pre_pandemia_historico,41,15.669359729032257,7.834558953259678,31
2012-09,2012,9,pre_pandemia_historico,49,16.129429061666666,12.284680716125,30
2012-10,2012,10,pre_pandemia_historico,67,17.97611060080645,8.217885441125,31
2012-11,2012,11,pre_pandemia_historico,53,19.33977049583333,6.628693891699999,30
2012-12,2012,12,pre_pandemia_historico,21,20.742895330645162,5.118962000814516,31
2013-01,2013,1,pre_pandemia_historico,67,19.718672237903224,3.2184512270821775,31
2013-02,2013,2,pre_pandemia_historico,64,19.643705098214287,5.084872138753839,28
2013-03,2013,3,pre_pandemia_historico,87,17.769392443548387,4.551086949226613,31
2013-04,2013,4,pre_pandemia_historico,100,16.104740415833334,5.3635001243666665,30
2013-05,2013,5,pre_pandemia_historico,110,13.998362919112903,6.683616986536291,31
2013-06,2013,6,pre_pandemia_historico,65,12.620369466666666,7.001065614841666,30
2013-07,2013,7,pre_pandemia_historico,78,11.414238749887096,5.014133429,31
