periodo_covid,estacao,total_internamentos,media_diaria_internamentos,mediana_diaria_internamentos,temperatura_media,pm25_medio,quantidade_dias
pre_pandemia_historico,Verão,1356,1.607,1.0,20.019,5.781,844
pre_pandemia_historico,Outono,1975,2.385,2.0,16.277,5.631,828
pre_pandemia_historico,Inverno,2232,2.696,2.0,12.645,7.603,828
pre_pandemia_historico,Primavera,1928,2.128,2.0,17.07,9.24,906
pre_pandemia_recente,Verão,406,1.504,1.0,20.18,6.226,270
pre_pandemia_recente,Outono,697,2.525,2.0,17.446,6.679,276
pre_pandemia_recente,Inverno,849,3.076,3.0,13.414,9.157,276
pre_pandemia_recente,Primavera,520,1.905,2.0,17.968,10.438,273
inicio_2020_pre_marco,Verão,50,0.833,1.0,19.785,6.599,60
fase_aguda_pandemia,Verão,133,1.099,1.0,19.663,5.606,121
fase_aguda_pandemia,Outono,147,0.799,1.0,16.087,6.477,184
fase_aguda_pandemia,Inverno,178,0.967,1.0,13.033,12.448,184
fase_aguda_pandemia,Primavera,184,1.011,1.0,17.903,12.161,182
transicao_pos_fase_aguda,Verão,78,0.867,1.0,20.222,6.856,90
transicao_pos_fase_aguda,Outono,207,2.25,2.0,15.757,6.557,92
transicao_pos_fase_aguda,Inverno,140,1.522,1.0,13.175,8.418,92
transicao_pos_fase_aguda,Primavera,90,0.989,1.0,15.224,8.763,91
pos_fase_critica,Verão,121,0.691,1.0,19.711,5.904,175
pos_fase_critica,Outono,327,1.777,2.0,17.515,6.129,184
pos_fase_critica,Inverno,208,1.13,1.0,13.907,10.108,184
pos_fase_critica,Primavera,191,1.049,1.0,18.303,15.301,182
